id,store_id,customer_id,voucher_id,final_price,note,payment_id,created_at,created_by,updated_at,updated_by,deleted
SO20250629000000,1967119892788416528,,,4065824,,1,2025-06-29 09:12:04,1967119892956188682,2025-06-29 09:18:04,1967119892956188680,False
SO20250629000001,1967119892788416527,1967119892838748365,,831312,,3,2025-06-29 07:10:04,1967119892956188685,2025-06-29 07:25:04,1967119892956188679,False
SO20250629000002,1967119892788416529,1967119892893274127,,346157,,1,2025-06-29 08:24:04,1967119892956188682,2025-06-29 08:32:04,1967119892956188679,False
SO20250629000003,1967119892788416522,1967119892947800084,,596880,,1,2025-06-29 08:45:04,1967119892956188684,2025-06-29 08:58:04,1967119892956188685,False
SO20250629000004,1967119892788416529,1967119892897468423,,225314,,2,2025-06-29 10:20:04,1967119892956188678,2025-06-29 10:35:04,1967119892956188678,False
SO20250629000005,1967119892788416524,1967119892939411471,,19157,,5,2025-06-29 16:32:04,1967119892956188681,2025-06-29 16:35:04,1967119892956188683,False
SO20250629000006,1967119892788416524,1967119892947800070,,1612639,,1,2025-06-29 04:25:04,1967119892956188679,2025-06-29 04:39:04,1967119892956188679,False
SO20250629000007,1967119892788416522,1967119892838748370,,1019156,Là mà đúng. Sẽ như với.,2,2025-06-29 03:38:04,1967119892956188685,2025-06-29 03:41:04,1967119892956188682,False
SO20250629000008,1967119892788416529,1967119892918439948,,79387,,3,2025-06-29 16:03:04,1967119892956188678,2025-06-29 16:06:04,1967119892956188684,False
SO20250629000009,1967119892788416522,1967119892947800085,,228154,,1,2025-06-29 04:17:04,1967119892956188683,2025-06-29 04:24:04,1967119892956188683,False
SO20250629000010,1967119892788416524,1967119892884885508,,110913,,3,2025-06-29 11:22:04,1967119892956188680,2025-06-29 11:28:04,1967119892956188678,False
SO20250629000011,1967119892788416522,1967119892872302602,,2364974,,2,2025-06-29 12:35:04,1967119892956188678,2025-06-29 12:45:04,1967119892956188681,False
SO20250629000012,1967119892788416526,1967119892901662734,,301487,,2,2025-06-29 08:06:04,1967119892956188681,2025-06-29 08:17:04,1967119892956188685,False
SO20250629000013,1967119892788416524,1967119892855525398,,131668,,1,2025-06-29 20:16:04,1967119892956188685,2025-06-29 20:27:04,1967119892956188678,False
SO20250629000014,1967119892788416526,1967119892893274125,,592451,,1,2025-06-29 20:37:04,1967119892956188679,2025-06-29 20:51:04,1967119892956188678,False
SO20250629000015,1967119892788416528,1967119892889079819,,320852,,1,2025-06-29 09:56:04,1967119892956188678,2025-06-29 10:02:04,1967119892956188685,False
SO20250630000016,1967119892788416529,1967119892851331073,,581321,,1,2025-06-30 16:41:04,1967119892956188683,2025-06-30 16:55:04,1967119892956188682,False
SO20250630000017,1967119892788416526,1967119892884885507,,490410,,2,2025-06-30 05:02:04,1967119892956188682,2025-06-30 05:17:04,1967119892956188681,False
SO20250630000018,1967119892788416524,1967119892901662726,,54230,,1,2025-06-30 12:02:04,1967119892956188683,2025-06-30 12:16:04,1967119892956188684,False
SO20250630000019,1967119892788416524,1967119892910051354,,19157,,1,2025-06-30 07:25:04,1967119892956188681,2025-06-30 07:32:04,1967119892956188685,False
SO20250630000020,1967119892788416527,,1967119892951994387,2133095,,1,2025-06-30 20:28:04,1967119892956188680,2025-06-30 20:42:04,1967119892956188684,False
SO20250701000021,1967119892788416525,1967119892838748331,,432536,,3,2025-07-01 11:22:04,1967119892956188678,2025-07-01 11:33:04,1967119892956188678,False
SO20250701000022,1967119892788416524,1967119892838748329,,1315257,,1,2025-07-01 20:29:04,1967119892956188685,2025-07-01 20:39:04,1967119892956188685,False
SO20250701000023,1967119892788416526,1967119892863913987,1967119892956188674,246831,,1,2025-07-01 01:47:04,1967119892956188683,2025-07-01 01:52:04,1967119892956188683,False
SO20250701000024,1967119892788416526,1967119892939411458,,275969,,4,2025-07-01 23:00:04,1967119892956188681,2025-07-01 23:08:04,1967119892956188679,False
SO20250701000025,1967119892788416525,,,101948,,2,2025-07-01 13:41:04,1967119892956188681,2025-07-01 13:53:04,1967119892956188679,False
SO20250701000026,1967119892788416523,,,991650,,2,2025-07-01 15:35:04,1967119892956188683,2025-07-01 15:49:04,1967119892956188679,False
SO20250701000027,1967119892788416529,1967119892838748333,,1379768,,2,2025-07-01 09:35:04,1967119892956188682,2025-07-01 09:43:04,1967119892956188679,False
SO20250701000028,1967119892788416522,1967119892838748361,,464757,Đang tại từng để cái có. Cái một trong vẫn cho.,1,2025-07-01 07:10:04,1967119892956188684,2025-07-01 07:19:04,1967119892956188681,False
SO20250701000029,1967119892788416522,1967119892838748358,,264231,,3,2025-07-01 07:13:04,1967119892956188682,2025-07-01 07:21:04,1967119892956188680,False
