id,name,location_id,contact,created_at,created_by,updated_at,updated_by,deleted
1967119892784222253,Unilever Vietnam,1967119892784222232,(00) 8292 7237,2024-09-07 13:27:31,1,2025-07-28 07:06:24,1,False
1967119892788416512,Nestlé Vietnam,1967119892784222222,+84 25 2575852,2021-01-31 16:15:16,1,2025-06-30 08:36:01,1,False
1967119892788416513,Coca-Cola Vietnam,1967119892784222233,(03) 5979 7836,2020-11-09 10:43:24,1,2025-07-07 12:30:43,1,False
1967119892788416514,Vinamilk,1967119892784222231,02 6028 1859,2023-11-18 21:08:08,1,2025-06-30 10:04:17,1,False
1967119892788416515,Masan Consumer,1967119892784222251,+84-96-580 9458,2022-07-16 23:44:58,1,2025-07-13 07:24:04,1,False
1967119892788416516,Công ty TNHH Thực phẩm ABC,1967119892784222245,00 3266 0612,2021-08-27 13:50:20,1,2025-07-21 01:32:55,1,False
1967119892788416517,Công ty CP Đầu tư XYZ,1967119892784222216,+84 13 3358884,2023-11-06 12:48:30,1,2025-09-02 18:18:25,1,False
1967119892788416518,Nhà phân phối DEF,1967119892784222217,(05) 8376 8082,2022-09-27 17:05:53,1,2025-07-12 18:17:11,1,False
1967119892788416519,Hợp tác xã nông sản,1967119892784222228,01 5574600,2022-08-07 21:10:35,1,2025-07-27 05:59:31,1,False
1967119892788416520,Cơ sở sản xuất gia đình,1967119892784222211,(04) 9761 2180,2024-05-15 20:27:40,1,2025-08-15 01:37:53,1,False
1967119892788416521,Nhà cung cấp địa phương,1967119892784222245,06 0152 6845,2022-03-31 03:11:08,1,2025-06-30 15:13:30,1,False
