id,code,desc,discount_per,discount_val,valid_from,valid_to,qty_total,qty_redeemed,per_customer_limit,audience_type,created_at,created_by,updated_at,updated_by,deleted
1967119892951994379,TET2024,Khuyến mãi Tết Nguyên Đán 2024,15,200000,2025-05-21 08:48:00,2025-06-11 08:48:00,486,0,2,ALL,2025-05-18 08:48:00,1,2025-05-21 08:48:00,1,False
1967119892951994380,TET20242,Khuyến mãi Tết Nguyên Đán 2024,15,200000,2025-05-28 01:53:53,2025-06-20 01:53:53,132,0,2,ALL,2025-05-27 01:53:53,1,2025-05-28 01:53:53,1,False
1967119892951994381,TET20243,Khuyến mãi Tết Nguyên Đán 2024,15,200000,2025-07-25 11:31:26,2025-09-21 11:31:26,926,26,3,ALL,2025-07-22 11:31:26,1,2025-07-25 11:31:26,1,False
1967119892951994382,VALENTINE2024,Giảm giá Valentine 2024,10,100000,2025-06-06 19:08:50,2025-07-05 19:08:50,456,4,3,ALL,2025-06-05 19:08:50,1,2025-06-06 19:08:50,1,False
1967119892951994383,WOMEN8_3,Chúc mừng ngày Phụ nữ Việt Nam,20,150000,2025-05-21 18:09:16,2025-07-20 18:09:16,961,4,2,ALL,2025-05-17 18:09:16,1,2025-05-21 18:09:16,1,False
1967119892951994384,WOMEN8_32,Chúc mừng ngày Phụ nữ Việt Nam,20,150000,2025-07-19 22:42:20,2025-09-16 22:42:20,242,30,2,ALL,2025-07-18 22:42:20,1,2025-07-19 22:42:20,1,False
1967119892951994385,CHILDREN1_6,Khuyến mãi ngày Quốc tế Thiếu nhi,25,100000,2025-07-03 03:12:59,2025-08-02 03:12:59,581,15,1,ALL,2025-06-28 03:12:59,1,2025-07-03 03:12:59,1,False
1967119892951994386,CHILDREN1_62,Khuyến mãi ngày Quốc tế Thiếu nhi,25,100000,2025-06-03 16:26:53,2025-07-24 16:26:53,704,6,2,ALL,2025-06-01 16:26:53,1,2025-06-03 16:26:53,1,False
1967119892951994387,CHILDREN1_63,Khuyến mãi ngày Quốc tế Thiếu nhi,25,100000,2025-06-19 21:06:55,2025-08-06 21:06:55,970,7,3,ALL,2025-06-16 21:06:55,1,2025-06-19 21:06:55,1,False
1967119892951994388,VIP2024,Ưu đãi đặc biệt cho khách VIP,30,500000,2025-08-12 05:33:54,2025-10-11 05:33:54,254,4,1,VIP,2025-08-10 05:33:54,1,2025-08-12 05:33:54,1,False
1967119892951994389,NEWCUSTOMER,Chào mừng khách hàng mới,15,50000,2025-06-11 00:23:32,2025-06-22 00:23:32,198,0,3,NEW,2025-06-09 00:23:32,1,2025-06-11 00:23:32,1,False
1967119892951994390,NEWCUSTOMER2,Chào mừng khách hàng mới,15,50000,2025-06-25 23:08:15,2025-07-30 23:08:15,701,0,3,NEW,2025-06-20 23:08:15,1,2025-06-25 23:08:15,1,False
1967119892951994391,NEWCUSTOMER3,Chào mừng khách hàng mới,15,50000,2025-08-15 05:39:45,2025-09-04 05:39:45,486,0,2,NEW,2025-08-09 05:39:45,1,2025-08-15 05:39:45,1,False
1967119892951994392,LOYAL2024,Tri ân khách hàng thân thiết,20,300000,2025-06-11 01:14:15,2025-06-26 01:14:15,921,0,2,VIP,2025-06-04 01:14:15,1,2025-06-11 01:14:15,1,False
1967119892951994393,LOYAL20242,Tri ân khách hàng thân thiết,20,300000,2025-08-14 02:27:58,2025-10-02 02:27:58,511,3,2,VIP,2025-08-07 02:27:58,1,2025-08-14 02:27:58,1,False
1967119892956188672,WEEKEND20,Giảm giá cuối tuần,10,80000,2025-06-10 03:49:06,2025-07-03 03:49:06,284,0,1,ALL,2025-06-07 03:49:06,1,2025-06-10 03:49:06,1,False
1967119892956188673,WEEKEND202,Giảm giá cuối tuần,10,80000,2025-07-29 07:38:06,2025-08-08 07:38:06,160,4,3,ALL,2025-07-24 07:38:06,1,2025-07-29 07:38:06,1,False
1967119892956188674,FLASH50,Flash sale 50k,0,50000,2025-06-25 12:15:46,2025-07-04 12:15:46,231,2,2,ALL,2025-06-24 12:15:46,1,2025-06-25 12:15:46,1,False
1967119892956188675,FLASH502,Flash sale 50k,0,50000,2025-05-25 22:13:08,2025-06-09 22:13:08,170,0,2,ALL,2025-05-20 22:13:08,1,2025-05-25 22:13:08,1,False
1967119892956188676,FLASH503,Flash sale 50k,0,50000,2025-08-12 22:17:44,2025-09-28 22:17:44,193,16,2,ALL,2025-08-06 22:17:44,1,2025-08-12 22:17:44,1,False
1967119892956188677,MEGA100,Siêu khuyến mãi 100k,0,100000,2025-06-13 23:27:13,2025-08-03 23:27:13,130,8,2,ALL,2025-06-10 23:27:13,1,2025-06-13 23:27:13,1,False
